date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2023-02-01,B_ValueQuality,oos,0.012199,0.021157,0.018298,-0.056712,0.07501,0.697856,0.262295,0.480075,513.0,549.0,-0.055251,0.004801,0.00125,0.003192,0.001942,0.0034,5.189084,3.686703,1.764751,0.012199,0.012325,0.113024,0.189083,0.575248,0.347597,0.087646,0.120527,-0.013274,-0.032582,-0.167991,1.771979,0.822759,5.382989,1.486495,5.803238,0.622375,0.666667,0.833333,0.666667
2023-03-01,B_ValueQuality,oos,-0.004167,-0.005133,-0.00625,-0.021639,0.015389,0.327553,0.324042,0.325797,519.0,574.0,-0.019518,0.003258,0.00125,0.003392,0.002142,0.0036,5.129094,4.214286,1.757398,-0.004167,0.021669,0.06634,0.120646,0.503795,0.402863,0.07636,0.116759,-0.013274,-0.032582,-0.142998,1.207733,0.95388,3.196645,1.756343,3.702803,0.835331,0.666667,0.666667,0.583333
2023-04-01,B_ValueQuality,oos,-0.01859,-0.02472,-0.027884,-0.028757,0.000873,0.677258,0.364055,0.520656,598.0,651.0,-0.008606,0.005207,0.00125,0.003292,0.002042,0.0035,6.058528,3.852535,1.724729,-0.01859,-0.010757,0.00619,0.054691,0.427005,0.418141,0.071939,0.115698,-0.022679,-0.027243,-0.123144,0.387236,0.980145,0.839191,1.812001,2.007523,1.002895,0.333333,0.5,0.5
2023-05-01,B_ValueQuality,oos,0.024288,0.0373,0.036432,0.082291,-0.045859,0.375367,0.22651,0.300938,682.0,596.0,0.066092,0.003009,0.00125,0.003392,0.002142,0.0036,4.55132,2.971477,1.766619,0.024288,0.001059,0.013397,0.086269,0.52241,0.506396,0.073509,0.112662,-0.022679,-0.025318,-0.123144,0.740524,1.172629,1.607705,2.179128,3.407399,1.18836,0.333333,0.5,0.583333
2023-06-01,B_ValueQuality,oos,0.018728,0.02942,0.028092,0.058074,-0.029982,0.362952,0.411017,0.386984,664.0,708.0,0.053475,0.00387,0.00125,0.003792,0.002542,0.004,5.239458,3.073446,1.799704,0.018728,0.024073,0.046264,0.108803,0.461191,0.52441,0.073629,0.112683,-0.022679,-0.022679,-0.123144,0.974088,1.196727,2.095973,2.223659,4.797569,1.22532,0.666667,0.666667,0.666667
2023-07-01,B_ValueQuality,oos,0.043942,0.066356,0.065913,-0.048777,0.11469,0.369748,0.327247,0.348498,714.0,712.0,-0.065079,0.003485,0.00125,0.004292,0.003042,0.0045,5.037815,2.162921,1.878787,0.043942,0.089323,0.077606,0.187593,0.551179,0.580604,0.071099,0.114094,-0.022679,-0.022679,-0.117997,1.919735,1.280412,5.173485,2.402661,8.27179,1.397173,1.0,0.666667,0.75
2023-08-01,B_ValueQuality,oos,0.044078,0.066679,0.066116,-0.048414,0.11453,0.246377,0.474427,0.360402,690.0,567.0,-0.064454,0.003604,0.00125,0.004292,0.003042,0.0045,5.382609,1.746032,1.9616,0.044078,0.110369,0.111545,0.237176,0.606282,0.675624,0.075333,0.114152,-0.01859,-0.022679,-0.117997,2.337665,1.441855,6.65485,2.70341,10.458089,1.59116,1.0,0.666667,0.75
2023-09-01,B_ValueQuality,oos,0.036041,0.059384,0.054062,-0.055755,0.109816,0.838843,0.793939,0.816391,484.0,495.0,-0.074191,0.008164,0.00125,0.004092,0.002842,0.0043,4.863636,2.468687,2.032298,0.036041,0.12924,0.156424,0.233142,0.606044,0.719787,0.074356,0.114742,0.0,-0.022679,-0.094907,2.313347,1.501514,6.436312,2.826041,10.280203,2.087254,1.0,0.833333,0.75
2023-10-01,B_ValueQuality,oos,0.009028,0.015527,0.013543,0.08264,-0.069097,0.628059,0.417103,0.522581,613.0,573.0,0.085961,0.005226,0.00125,0.004492,0.003242,0.0047,5.45677,1.642234,2.050647,0.009028,0.091474,0.188968,0.196328,0.538293,0.780742,0.070607,0.112192,0.0,-0.022679,-0.092612,1.97183,1.621074,5.173633,3.033188,8.65692,2.290063,1.0,1.0,0.75
2023-11-01,B_ValueQuality,oos,-0.034375,-0.051996,-0.051562,0.095811,-0.147373,0.193548,0.308023,0.250786,558.0,698.0,0.110099,0.002508,0.00125,0.004192,0.002942,0.0044,6.589606,2.540115,1.980157,-0.034375,0.00946,0.120874,0.13589,0.395362,0.723891,0.086181,0.115517,-0.034375,-0.034375,-0.039901,0.984028,1.463805,1.942507,2.7075,3.953213,4.988546,0.666667,0.833333,0.666667
2023-12-01,B_ValueQuality,oos,0.02297,0.037922,0.034455,-0.033908,0.068363,0.779468,0.482143,0.630805,526.0,616.0,-0.037193,0.006308,0.00125,0.004092,0.002842,0.0043,5.621673,3.537338,2.025641,0.02297,-0.003276,0.125541,0.177613,0.400693,0.943478,0.082612,0.095949,-0.034375,-0.034375,-0.039901,1.453975,2.129332,2.806992,5.556304,5.16699,6.213839,0.666667,0.833333,0.75
